============================== syn10
syn10, numTalks = 10, numSlots = 10
============================== baseline_results
------- SWM Metrics:
NCG_Gini        : 0.037
NCG_max-NCG_min : 0.223
NCG_mean        : 0.890
NEC_Gini        : 0.078
NEC_max-NEC_min : 0.386
NEC_mean        : 0.858
TEP             : 30.224415486673877

------- PFair Metrics:
NCG_Gini        : 0.010
NCG_max-NCG_min : 0.039
NCG_mean        : 0.824
NEC_Gini        : 0.086
NEC_max-NEC_min : 0.379
NEC_mean        : 0.806
TEP             : 27.80547321591618

------- SFair Metrics:
NCG_Gini        : 0.078
NCG_max-NCG_min : 0.411
NCG_mean        : 0.720
NEC_Gini        : 0.041
NEC_max-NEC_min : 0.138
NEC_mean        : 0.702
TEP             : 24.666999452779947

------- IAM Metrics:
NCG_Gini        : 0.087
NCG_max-NCG_min : 0.471
NCG_mean        : 0.751
NEC_Gini        : 0.141
NEC_max-NEC_min : 0.542
NEC_mean        : 0.718
TEP             : 25.716271790133003

lamda_values [0.0, 0.001, 0.01, 0.02, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]
=================================== syn10 lamda_1 (lamda = 1, lamda_2 = 0.5) === NCG_mean ===
(0.001,	0.031)
(0.01,	0.031)
(0.02,	0.031)
(0.03,	0.031)
(0.04,	0.031)
(0.05,	0.031)
(0.06,	0.031)
(0.07,	0.031)
(0.08,	0.031)
(0.09,	0.031)
(0.1,	0.031)
(0.2,	0.056)
(0.3,	0.056)
(0.4,	0.066)
(0.5,	0.066)
(0.6,	0.066)
(0.7,	0.066)
(0.8,	0.066)
(0.9,	0.066)
(1.0,	0.066)
=================================== syn10 lamda_1 (lamda = 1, lamda_2 = 0.5) === TEP ===
(0.0,	25.45368419039238)
(0.001,	25.45368419039238)
(0.01,	25.45368419039238)
(0.02,	25.35731941350786)
(0.03,	25.35731941350786)
(0.04,	25.35731941350786)
(0.05,	25.35731941350786)
(0.06,	25.35731941350786)
(0.07,	25.35731941350786)
(0.08,	25.35731941350786)
(0.09,	25.35731941350786)
(0.1,	25.35731941350786)
(0.2,	26.85809686867394)
(0.3,	26.85809686867394)
(0.4,	28.69110533448474)
(0.5,	28.69110533448474)
(0.6,	28.69110533448474)
(0.7,	28.69110533448474)
(0.8,	28.69110533448474)
(0.9,	28.69110533448474)
(1.0,	28.69110533448474)
=================================== syn10 lamda_2 (lamda = 1, lamda_1 = 0.5) === NCG_mean ===
(0.0,	0.865)
(0.001,	0.865)
(0.01,	0.865)
(0.02,	0.865)
(0.03,	0.865)
(0.04,	0.865)
(0.05,	0.865)
(0.06,	0.865)
(0.07,	0.865)
(0.08,	0.865)
(0.09,	0.849)
(0.1,	0.849)
(0.2,	0.849)
(0.3,	0.849)
(0.4,	0.849)
(0.5,	0.849)
(0.6,	0.849)
(0.7,	0.795)
(0.8,	0.795)
(0.9,	0.795)
(1.0,	0.795)
=================================== syn10 lamda_2 (lamda = 1, lamda_1 = 0.5) === NCG_max-NCG_min ===
(0.0,	0.064)
(0.001,	0.064)
(0.01,	0.064)
(0.02,	0.064)
(0.03,	0.064)
(0.04,	0.064)
(0.05,	0.064)
(0.06,	0.064)
(0.07,	0.064)
(0.08,	0.064)
(0.09,	0.068)
(0.1,	0.068)
(0.2,	0.068)
(0.3,	0.068)
(0.4,	0.068)
(0.5,	0.068)
(0.6,	0.068)
(0.7,	0.130)
(0.8,	0.130)
(0.9,	0.130)
(1.0,	0.130)
=================================== syn10 lamda_2 (lamda = 1, lamda_1 = 0.5) === NCG_Gini ===
(0.0,	0.012)
(0.001,	0.012)
(0.01,	0.012)
(0.02,	0.012)
(0.03,	0.012)
(0.04,	0.012)
(0.05,	0.012)
(0.06,	0.012)
(0.07,	0.012)
(0.08,	0.012)
(0.09,	0.016)
(0.1,	0.016)
(0.2,	0.016)
(0.3,	0.016)
(0.4,	0.016)
(0.5,	0.016)
(0.6,	0.016)
(0.7,	0.029)
(0.8,	0.029)
(0.9,	0.029)
(1.0,	0.029)
=================================== syn10 lamda_2 (lamda = 1, lamda_1 = 0.5) === NEC_mean ===
(0.0,	0.834)
(0.001,	0.834)
(0.01,	0.834)
(0.02,	0.834)
(0.03,	0.834)
(0.04,	0.834)
(0.05,	0.834)
(0.06,	0.834)
(0.07,	0.834)
(0.08,	0.834)
(0.09,	0.820)
(0.1,	0.820)
(0.2,	0.820)
(0.3,	0.820)
(0.4,	0.820)
(0.5,	0.820)
(0.6,	0.820)
(0.7,	0.768)
(0.8,	0.768)
(0.9,	0.768)
(1.0,	0.768)
=================================== syn10 lamda_2 (lamda = 1, lamda_1 = 0.5) === NEC_max-NEC_min ===
(0.0,	0.379)
(0.001,	0.379)
(0.01,	0.379)
(0.02,	0.379)
(0.03,	0.379)
(0.04,	0.379)
(0.05,	0.379)
(0.06,	0.379)
(0.07,	0.379)
(0.08,	0.379)
(0.09,	0.286)
(0.1,	0.286)
(0.2,	0.286)
(0.3,	0.286)
(0.4,	0.286)
(0.5,	0.286)
(0.6,	0.286)
(0.7,	0.207)
(0.8,	0.207)
(0.9,	0.207)
(1.0,	0.207)
=================================== syn10 lamda_2 (lamda = 1, lamda_1 = 0.5) === NEC_Gini ===
(0.0,	0.078)
(0.001,	0.078)
(0.01,	0.078)
(0.02,	0.078)
(0.03,	0.078)
(0.04,	0.078)
(0.05,	0.078)
(0.06,	0.078)
(0.07,	0.078)
(0.08,	0.078)
(0.09,	0.066)
(0.1,	0.066)
(0.2,	0.066)
(0.3,	0.066)
(0.4,	0.066)
(0.5,	0.066)
(0.6,	0.066)
(0.7,	0.056)
(0.8,	0.056)
(0.9,	0.056)
(1.0,	0.056)
=================================== syn10 lamda_2 (lamda = 1, lamda_1 = 0.5) === TEP ===
(0.0,	29.270732781742332)
(0.001,	29.270732781742332)
(0.01,	29.270732781742332)
(0.02,	29.270732781742332)
(0.03,	29.270732781742332)
(0.04,	29.270732781742332)
(0.05,	29.270732781742332)
(0.06,	29.270732781742332)
(0.07,	29.270732781742332)
(0.08,	29.270732781742332)
(0.09,	28.69110533448474)
(0.1,	28.69110533448474)
(0.2,	28.69110533448474)
(0.3,	28.69110533448474)
(0.4,	28.69110533448474)
(0.5,	28.69110533448474)
(0.6,	28.69110533448474)
(0.7,	26.85809686867394)
(0.8,	26.85809686867394)
(0.9,	26.85809686867394)
(1.0,	26.85809686867394)
